match_id,team,minute,player_number,player_name,outcome,body_part,delivery_type
1,Mexico,3,26,Brian GUTIERREZ,Incomplete - Blocked,Right Foot,Freekick
1,Mexico,4,9,Raul JIMENEZ,On Target - Saved,Left Foot,Cross
1,Mexico,8,16,Julian QUINONES,On Target - Goal,Right Foot,Loose Ball
1,Mexico,12,9,Raul JIMENEZ,Off Target - Saved,Head,Corner
1,Mexico,19,16,Julian QUINONES,Off Target,Right Foot,Pass
1,Mexico,29,26,Brian GUTIERREZ,Incomplete - Blocked,Right Foot,Pass
1,Mexico,41,16,Julian QUINONES,Deflected Off Target - Defensive Event,Right Foot,Other
1,Mexico,41,16,Julian QUINONES,Off Target,Right Foot,Pass
1,Mexico,46,23,Jesus GALLARDO,Deflected Off Target - Defensive Event,Left Foot,Pass
1,Mexico,48,26,Brian GUTIERREZ,Off Target,Right Foot,Pass
1,Mexico,45,26,Brian GUTIERREZ,Off Target,Right Foot,Loose Ball
1,Mexico,47,16,Julian QUINONES,On Target - Saved,Right Foot,Ball Progression
1,Mexico,51,9,Raul JIMENEZ,Incomplete - Blocked,Right Foot,Freekick
1,Mexico,51,23,Jesus GALLARDO,Off Target,Left Foot,Pass
1,Mexico,57,15,Israel REYES,Incomplete - Player On Ball Error,Head,Freekick
1,Mexico,66,9,Raul JIMENEZ,On Target - Goal,Head,Cross
1,South Africa,37,9,Lyle FOSTER,Off Target,Head,Pass
1,South Africa,44,14,Mbekezeli MBOKAZI,On Target - Saved,Left Foot,Loose Ball
1,South Africa,55,6,Aubrey MODIBA,On Target - Saved,Left Foot,Pass
2,Korea Republic,11,7,SON Heungmin,Deflected Off Target - Defensive Event,Left Foot,Pass
2,Korea Republic,11,2,LEE Hanbeom,Off Target,Head,Cross
2,Korea Republic,13,19,LEE Kangin,On Target - Saved,Left Foot,Pass
2,Korea Republic,13,7,SON Heungmin,Incomplete - Blocked,Right Foot,Cross
2,Korea Republic,37,7,SON Heungmin,Off Target,Right Foot,Pass
2,Korea Republic,38,7,SON Heungmin,Off Target,Left Foot,Pass
2,Korea Republic,46,7,SON Heungmin,Incomplete - Defensive Event,Right Foot,Cross
2,Korea Republic,47,6,HWANG Inbeom,Off Target,Right Foot,Pass
2,Korea Republic,48,6,HWANG Inbeom,On Target - Saved,Right Foot,Pass
2,Korea Republic,48,10,LEE Jaesung,On Target - Saved,Left Foot,Other
