match_id,round,date,team,opponent,is_home,team_score,opponent_score,formation,possession_pct,goals,xg,shots,shots_on_target,passes,passes_completed,pass_completion_pct,completed_line_breaks,defensive_line_breaks,receptions_final_third,crosses,ball_progressions,def_pressures,def_pressures_direct,forced_turnovers,second_balls,total_distance_km,zone4_low_speed_sprint_km,phase_build_up_unopposed_pct,phase_build_up_opposed_pct,phase_progression_pct,phase_final_third_pct,phase_long_ball_pct,phase_attacking_transition_pct,phase_counter_attack_pct,phase_set_piece_pct,phase_high_press_pct,phase_mid_press_pct,phase_low_press_pct,phase_high_block_pct,phase_mid_block_pct,phase_low_block_pct,phase_recovery_pct,phase_defensive_transition_pct,phase_counter_press_pct,avg_pressure_duration_s,ball_recovery_time_s,pushing_on_into_pressing,pushing_on,pressing_direction_inside,pressing_direction_outside,ip_build_up_low_team_width_m,ip_build_up_low_team_length_m,ip_build_up_low_line_height_m,ip_build_up_mid_team_width_m,ip_build_up_mid_team_length_m,ip_build_up_mid_line_height_m,ip_final_third_phase_team_width_m,ip_final_third_phase_team_length_m,ip_final_third_phase_line_height_m,oop_high_block_press_team_width_m,oop_high_block_press_team_length_m,oop_high_block_press_line_height_m,oop_mid_block_team_width_m,oop_mid_block_team_length_m,oop_mid_block_line_height_m,oop_low_block_team_width_m,oop_low_block_team_length_m,oop_low_block_line_height_m,lb_4u_attempted,lb_3u_attempted,lb_2u_attempted,lb_4u_inside_shape,lb_3u_inside_shape,lb_2u_inside_shape,lb_4u_outside_shape,lb_3u_outside_shape,lb_2u_outside_shape,offers_made_total,offers_received_total,offers_made_final_third,offers_made_middle_third,offers_made_defensive_third,offers_made_inside_shape,offers_made_outside_shape,possession_regained_total,interceptions_total,tackles_total,possession_actions_per_defensive_action,blocks_total,possession_contests_total,total_set_plays,corner_direct_to_area_left,corner_direct_to_area_right,corner_direct_to_area_total,corner_short_left,corner_short_right,corner_short_total,corner_edge_box_left,corner_edge_box_right,corner_edge_box_total,corner_inswing,corner_outswing,corner_driven,corner_lofted,freekick_direct,freekick_direct_on_target,freekick_direct_off_target,freekick_indirect,total_free_kicks,total_penalties,total_corners,total_throw_ins,movement_final_third_phase_total,movement_progression_phase_total,movement_build_up_phase_total,movement_all_types_total,movement_final_third_in_front,movement_final_third_in_between,movement_final_third_out_to_in,movement_final_third_in_to_out,movement_final_third_in_behind,movement_middle_third_in_front,movement_middle_third_in_between,movement_middle_third_out_to_in,movement_middle_third_in_to_out,movement_middle_third_in_behind,movement_defensive_third_in_front,movement_defensive_third_in_between,movement_defensive_third_out_to_in,movement_defensive_third_in_to_out,movement_defensive_third_in_behind
1,Group A,11 June 2026,Mexico,South Africa,True,2,0,4-1-2-3,57.1,2,1.78,16,4,547,495,90,105,10,117,13,23,170,26,31,56,107.3,5.3,47,13,16,11,3,10,1,5,9,3,0,7,25,11,5,12,8,1.57,14.38,79,200,29,96,56,40,19,57,33,39,47,35,54,43,38,46,42,30,38,35,26,19,11,85,40,7,40,23,4,45,17,424,166,134,212,78,213,211,37,6,16,10.36,13,33,36,3,0,3,0,0,0,0,0,0,1,2,0,0,11,0,0,1,12,0,3,21,65,96,176,309,7,26,5,4,76,62,49,10,13,15,28,11,2,1,0
1,Group A,11 June 2026,South Africa,Mexico,False,0,2,5-3-2,42.9,0,0.1,3,2,351,290,83,57,3,36,8,8,306,45,32,45,97.1,5.1,43,13,14,7,6,12,2,5,6,3,1,5,30,14,2,10,7,1.43,22.45,141,329,54,168,55,42,18,53,36,39,43,39,51,43,37,47,41,25,39,35,22,20,8,64,24,5,41,16,3,23,8,247,94,71,104,72,124,123,41,9,29,3.66,15,35,25,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,2,13,0,1,11,17,53,103,179,1,8,0,3,51,39,27,5,5,5,23,7,2,3,0
2,Group A,11 June 2026,Korea Republic,Czechia,True,2,1,3-4-3,55.8,2,1.77,15,6,542,483,89,92,10,125,17,27,147,22,30,49,111.8,5.4,38,19,12,14,5,10,2,8,4,3,0,6,13,20,5,17,11,1.7,12.78,57,148,23,77,57,37,22,55,31,45,44,32,59,42,34,51,41,25,38,36,25,19,4,73,47,2,49,32,2,24,15,386,186,143,176,67,191,195,50,6,13,6.54,18,54,48,1,1,2,1,1,2,0,0,0,2,0,0,0,16,0,0,2,18,0,4,26,60,60,181,281,24,24,3,3,70,65,26,7,8,16,28,6,0,1,0
2,Group A,11 June 2026,Czechia,Korea Republic,False,1,2,5-2-3,44.3,1,0.64,7,4,327,241,74,54,5,77,15,10,301,54,40,78,117.6,6.0,32,13,13,12,10,17,1,8,5,7,1,5,18,26,4,10,7,1.61,18.42,138,337,41,175,50,39,18,49,33,42,42,34,59,46,36,48,45,28,38,38,23,19,5,69,35,3,50,27,2,19,8,197,67,90,84,23,95,102,42,6,29,3.03,17,55,32,2,3,5,0,0,0,0,0,0,2,3,0,0,9,0,0,2,11,0,5,16,27,43,91,159,4,14,1,2,56,24,20,0,3,22,7,3,1,1,1
3,Group B,12 June 2026,Canada,Bosnia and Herzegovina,True,1,1,4-4-2,52.8,1,1.49,13,4,412,316,77,84,16,143,30,30,160,38,50,94,111.3,5.8,30,10,17,19,3,17,2,11,6,6,1,5,11,5,6,36,20,1.33,8.51,65,138,24,87,49,38,23,53,30,47,40,30,62,38,35,49,37,28,35,32,24,16,5,76,64,4,46,38,1,30,26,294,86,187,91,16,154,140,64,7,41,3.74,15,91,61,1,4,5,1,2,3,0,1,1,1,5,0,0,20,0,0,0,20,0,9,32,79,77,100,229,13,37,3,6,101,16,11,3,8,20,7,3,0,1,0
3,Group B,12 June 2026,Bosnia and Herzegovina,Canada,False,1,1,4-4-2,47.2,1,0.76,8,3,279,186,67,61,4,51,8,22,203,35,51,79,109.5,5.2,16,8,12,5,10,36,3,11,2,2,1,1,14,31,5,17,13,1.49,12.03,81,190,33,100,46,37,18,48,33,41,37,35,56,39,36,49,40,24,36,35,18,17,5,77,33,4,55,24,1,22,9,126,47,32,79,15,74,52,63,8,36,1.7,33,91,41,1,3,4,0,0,0,0,0,0,3,1,0,0,10,0,0,1,11,0,4,26,8,21,30,107,3,7,1,4,15,30,17,4,5,12,6,3,0,0,0
4,Group D,12 June 2026,USA,Paraguay,True,4,1,4-2-3-1,59.5,4,1.88,16,6,602,520,86,129,25,201,23,52,204,39,50,101,119.9,6.2,37,12,19,22,2,15,1,7,8,7,0,8,14,4,4,26,19,1.37,11.23,96,189,32,114,56,38,22,54,31,44,40,33,57,34,35,50,35,26,39,31,25,15,7,98,65,4,46,35,3,52,30,471,160,245,187,39,253,218,47,7,20,7.32,15,56,44,1,2,3,0,0,0,0,0,0,3,0,0,0,16,0,0,2,18,0,3,23,136,140,171,350,17,65,9,11,100,51,40,6,9,18,18,5,1,0,0
4,Group D,12 June 2026,Paraguay,USA,False,1,4,4-4-2,40.5,1,0.6,9,1,316,234,74,53,3,31,5,17,360,75,49,55,114.3,6.1,21,16,15,7,8,26,1,7,4,3,1,3,25,28,4,15,11,1.47,17.37,169,361,47,233,48,37,17,49,33,37,39,37,56,38,36,48,38,24,38,34,21,18,6,65,29,4,47,25,2,18,4,204,73,39,112,53,105,99,52,8,57,1.71,32,56,33,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0,0,2,15,0,1,17,19,40,77,152,3,12,2,0,17,39,17,4,8,18,22,8,0,2,0
5,Group C,13 June 2026,Haiti,Scotland,True,0,1,4-4-2,51.6,0,0.7,15,2,431,378,88,84,4,116,26,24,185,35,29,53,113.7,5.9,44,9,19,19,2,12,2,6,5,7,1,6,25,8,5,11,7,1.52,14.86,79,166,29,108,54,41,19,57,32,46,46,33,58,39,35,47,38,27,39,36,24,18,5,64,45,5,27,27,0,37,18,267,94,158,94,15,129,138,40,7,22,4.64,19,46,40,2,1,3,1,0,1,0,0,0,2,1,0,0,21,0,0,1,22,0,4,14,75,65,121,202,11,31,0,6,91,33,11,0,3,8,6,2,0,0,0
5,Group C,13 June 2026,Scotland,Haiti,False,1,0,4-4-2,48.4,1,0.91,9,2,397,324,82,86,6,77,16,21,230,39,35,52,117.6,5.9,33,9,19,9,8,11,0,10,1,1,1,4,21,34,8,12,8,1.85,21.55,99,211,33,150,54,38,20,56,34,38,43,40,52,39,37,47,40,26,36,37,20,18,8,95,21,5,55,12,3,40,9,329,115,123,159,47,167,162,39,3,24,4.26,19,47,52,1,2,3,0,0,0,0,0,0,3,0,0,0,23,0,0,3,26,0,3,23,53,82,123,256,7,23,3,5,68,52,47,3,2,20,15,9,0,1,1
