team,Control,Access,Line-breaking,Defensive approach,Attacking approach,Chance threat,matches,xg_for_per_match,xg_against_per_match,goals_per_match,xg_diff_per_match,goals_minus_xg_per_match,Control_pctile,Access_pctile,Line-breaking_pctile,Defensive approach_pctile,Attacking approach_pctile,Chance threat_pctile,Control_pctile_low,Control_pctile_high,Control_pctile_width,Control_loo_sd,Control_max_abs_delta,Access_pctile_low,Access_pctile_high,Access_pctile_width,Access_loo_sd,Access_max_abs_delta,Line-breaking_pctile_low,Line-breaking_pctile_high,Line-breaking_pctile_width,Line-breaking_loo_sd,Line-breaking_max_abs_delta,Defensive approach_pctile_low,Defensive approach_pctile_high,Defensive approach_pctile_width,Defensive approach_loo_sd,Defensive approach_max_abs_delta,Attacking approach_pctile_low,Attacking approach_pctile_high,Attacking approach_pctile_width,Attacking approach_loo_sd,Attacking approach_max_abs_delta,Chance threat_pctile_low,Chance threat_pctile_high,Chance threat_pctile_width,Chance threat_loo_sd,Chance threat_max_abs_delta,mean_pctile_uncertainty_width,max_pctile_uncertainty_width,max_score_shift_leave_one_out,stability_flag
Algeria,0.920750490505303,0.5592558605441447,-0.4528014054866509,1.2273975546122844,1.8642905657301476,-0.10871714639233919,4,1.1825,1.23,1.25,-0.047499999999999876,0.0674999999999999,100.0,91.66666666666666,33.33333333333333,95.83333333333334,100.0,56.25,93.75,100.0,6.25,0.10490010530448511,0.13362945835658435,70.83333333333334,93.75,22.916666666666657,0.17143640081303319,0.24042079428095603,4.166666666666666,41.66666666666667,37.50000000000001,0.2645080811043107,0.43430682338838905,89.58333333333334,97.91666666666666,8.333333333333314,0.20023577081671828,0.2842688535154575,97.91666666666666,100.0,2.083333333333343,0.11983875620079669,0.20565321863947483,41.66666666666667,66.66666666666666,24.999999999999986,0.2509100367836752,0.33567628157141777,17.013888888888882,37.50000000000001,0.43430682338838905,Sample-sensitive
Argentina,0.5499953870950209,0.52885602528837,-0.6378519025778708,-0.21510238532119183,1.1155029728874555,0.7590108783038045,8,1.93,0.8375,2.375,1.0924999999999998,0.44500000000000006,87.5,89.58333333333334,16.666666666666664,45.83333333333333,89.58333333333334,91.66666666666666,75.0,93.75,18.75,0.09911984567700032,0.20434505629880795,83.33333333333334,93.75,10.416666666666657,0.10970046738413228,0.18382357100333824,4.166666666666666,22.916666666666664,18.75,0.08748054765084909,0.1992406036122062,33.33333333333333,56.25,22.91666666666667,0.14532384204538568,0.1991260396408266,85.41666666666666,93.75,8.333333333333343,0.1578597884272379,0.29230902761124433,85.41666666666666,100.0,14.583333333333343,0.1380738692049144,0.3084518157543865,15.625000000000002,22.91666666666667,0.3084518157543865,Moderate
Australia,-0.7527281185238093,-0.5718105999672829,0.42678353557536564,-0.6216782722370152,-1.442683050287444,-0.6862351293840869,4,0.685,1.19,0.75,-0.5049999999999999,0.06499999999999995,20.833333333333336,27.083333333333332,83.33333333333334,22.916666666666664,16.666666666666664,27.083333333333332,6.25,31.25,25.0,0.2442360567422177,0.37499821104558184,12.5,35.41666666666667,22.91666666666667,0.16436402949391585,0.24584132496665023,56.25,91.66666666666666,35.41666666666666,0.391147220990002,0.5875808467040223,14.583333333333334,39.58333333333333,24.999999999999993,0.19960242575547868,0.32467209058638996,6.25,22.916666666666664,16.666666666666664,0.3648611360484668,0.5882364505019193,16.666666666666664,35.41666666666667,18.750000000000007,0.09416807810554563,0.1451050208521979,23.95833333333333,35.41666666666666,0.5882364505019193,Sample-sensitive
Austria,-0.09797048920332431,-0.30329047807172843,0.19918601104860556,-0.5149412922314988,-0.21778856986783252,-0.3582977822581196,4,0.9675,1.6925000000000001,1.5,-0.7250000000000001,0.5325,45.83333333333333,47.91666666666667,70.83333333333334,29.166666666666668,43.75,45.83333333333333,37.5,52.083333333333336,14.583333333333336,0.13215311948158023,0.19632946716381616,25.0,50.0,25.0,0.21887167319411924,0.2988027319984678,56.25,87.5,31.25,0.1761589454040437,0.2950927894651957,14.583333333333334,56.25,41.666666666666664,0.3218663296805545,0.5273617960860961,39.58333333333333,50.0,10.416666666666671,0.29937026600812966,0.4627804793894055,25.0,56.25,31.25,0.24193261681118253,0.37243622018730793,25.694444444444446,41.666666666666664,0.5273617960860961,Sample-sensitive
Belgium,0.037124610057555,0.5150874343898555,0.3350676082400728,-0.4452040682184659,0.023732074931550384,0.5713417180016286,6,1.7683333333333333,1.0216666666666667,2.3333333333333335,0.7466666666666666,0.5650000000000002,52.083333333333336,85.41666666666666,77.08333333333334,33.33333333333333,47.91666666666667,81.25,43.75,60.416666666666664,16.666666666666664,0.12123347647657468,0.1967780649773639,62.5,93.75,31.25,0.23028880292020923,0.3295187628088213,62.5,87.5,25.0,0.14413290149602598,0.21092841598215004,18.75,43.75,25.0,0.1515027325452687,0.2311544766925232,39.58333333333333,58.333333333333336,18.750000000000007,0.24751273170981966,0.38752054909320066,64.58333333333334,91.66666666666666,27.083333333333314,0.26123947905075307,0.5157999807892797,23.95833333333333,31.25,0.5157999807892797,Sample-sensitive
Bosnia and Herzegovina,-0.4402062908109436,-0.8206859880169582,-0.6410366590489415,-0.3808595292205235,-0.9021064821349276,-0.8893821585771641,4,0.51,1.3275000000000001,1.25,-0.8175000000000001,0.74,33.33333333333333,12.5,14.583333333333334,35.41666666666667,31.25,8.333333333333332,27.083333333333332,45.83333333333333,18.749999999999996,0.2276092270531418,0.3464178070046413,4.166666666666666,25.0,20.833333333333336,0.17419376383800003,0.24523242426824932,12.5,27.083333333333332,14.583333333333332,0.07421342201759297,0.1182790818526207,22.916666666666664,50.0,27.083333333333336,0.2022691564905403,0.3079982315182928,8.333333333333332,50.0,41.66666666666667,0.7081057076695974,1.1229653696374442,4.166666666666666,16.666666666666664,12.499999999999998,0.09944606043582502,0.11608401668175838,22.569444444444443,41.66666666666667,1.1229653696374442,Sample-sensitive
Brazil,0.33434562508638876,0.3977282094909127,0.23108825092432372,0.1729040864834928,0.42820213335235735,1.04457755934093,5,2.1759999999999997,0.79,2.0,1.3859999999999997,-0.1759999999999997,70.83333333333334,81.25,75.0,68.75,64.58333333333334,97.91666666666666,54.166666666666664,87.5,33.333333333333336,0.1545743071811545,0.25549384805117703,56.25,91.66666666666666,35.41666666666666,0.17150412113487412,0.3290208718685208,50.0,85.41666666666666,35.41666666666666,0.17087982047169506,0.3056806179478746,50.0,79.16666666666666,29.166666666666657,0.1992555739166662,0.26090144960618045,47.91666666666667,85.41666666666666,37.499999999999986,0.30183307893067257,0.5207342140439664,81.25,100.0,18.75,0.28164791099922204,0.46549690689385104,31.597222222222218,37.499999999999986,0.5207342140439664,Sample-sensitive
Cabo Verde,-0.6903966969823143,-0.6081752122905456,-0.9309661367108312,-1.5302563897962818,-1.449929496015835,-0.7384729368908781,4,0.64,1.8925,1.0,-1.2525,0.36,25.0,25.0,4.166666666666666,2.083333333333333,14.583333333333334,25.0,10.416666666666668,33.33333333333333,22.91666666666666,0.20439192074180068,0.2739493938650605,8.333333333333332,41.66666666666667,33.33333333333334,0.19119698172186927,0.25886830566513536,0.0,12.5,12.5,0.29653401980126814,0.49242581209750436,0.0,4.166666666666666,4.166666666666666,0.3075720154940224,0.5309205028934849,8.333333333333332,22.916666666666664,14.583333333333332,0.32705534875628633,0.3879767640848857,2.083333333333333,35.41666666666667,33.333333333333336,0.1749196071258379,0.2824711072589453,20.13888888888889,33.33333333333334,0.5309205028934849,Sample-sensitive
Canada,-0.2522886480323215,0.32803014970552646,0.9638865568734041,1.644470332521108,-0.5684660945025273,0.6104233369511539,5,1.802,0.73,1.8,1.072,-0.0020000000000000018,37.5,72.91666666666666,91.66666666666666,100.0,37.5,83.33333333333334,27.083333333333332,47.91666666666667,20.83333333333334,0.20905079424287829,0.39825342604043806,50.0,87.5,37.5,0.29049343920629994,0.5728671298429733,89.58333333333334,95.83333333333334,6.25,0.24069452899628385,0.3075372742562268,95.83333333333334,100.0,4.166666666666657,0.22352265230699522,0.30036487262786427,20.833333333333336,41.66666666666667,20.833333333333336,0.34779344934393847,0.6471815266610546,60.416666666666664,91.66666666666666,31.249999999999993,0.3183719234148618,0.6088606674958226,20.13888888888889,37.5,0.6471815266610546,Sample-sensitive
Colombia,0.5018051593940356,0.3351491874860079,-0.5749872263513904,0.04288307063137835,1.1813401154062952,0.2180593605668107,5,1.464,0.6679999999999999,1.0,0.796,-0.46399999999999997,81.25,75.0,22.916666666666664,58.333333333333336,91.66666666666666,68.75,72.91666666666666,89.58333333333334,16.666666666666686,0.08885458275276428,0.15745626517597167,66.66666666666666,83.33333333333334,16.666666666666686,0.07195614561661512,0.13192225730911605,6.25,39.58333333333333,33.33333333333333,0.18757613807242784,0.2416014927190966,50.0,66.66666666666666,16.666666666666657,0.09741868656022933,0.18861948666471978,85.41666666666666,93.75,8.333333333333343,0.13227808157793994,0.24867816135183207,64.58333333333334,72.91666666666666,8.333333333333314,0.10087627578480615,0.1433637606019716,16.666666666666668,33.33333333333333,0.24867816135183207,Sample-sensitive
